,match_id,total,date,year,gender,domain,title
0,22219,"Loveland 1602, Hamilton 1313",2008-11-24,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
1,22220,"Middletown 2206, Sycamore 1976",2008-11-24,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
2,22222,"Princeton 2318, Colerain 1895",2008-11-25,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
3,22221,"Mason 1827, Hamilton 1465",2008-11-25,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
4,23966,"Lakota East 2072, Walnut Hills 1728",2008-12-01,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
5,22224,"Princeton 2016, Lakota East 1806",2008-12-02,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
6,22226,"Sycamore 2184, Loveland 1869",2008-12-02,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
7,22225,"Middletown 2094, Hamilton 1489",2008-12-02,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
8,22227,"Fairfield 2118, Mason 1910",2008-12-02,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
9,23977,"Lakota East 2017, Reading 1467",2008-12-03,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
10,22229,"Oak Hills 1648, Colerain 1295",2008-12-03,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
11,22228,"Wilmington 1843, Mason 1755",2008-12-03,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
12,24100,"Western Hills 1910, Sycamore 1808",2008-12-04,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
13,22230,"North College Hill 1447, Hamilton 1382",2008-12-04,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
14,22231,"Mason 1949, Lebanon 1471",2008-12-04,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
15,23968,Mason at kick-off ,2008-12-06,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
16,23661,Fairfield at Big Blue Challenge ,2008-12-07,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
17,25462,Colerain at Big Blue Challenge ,2008-12-07,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
18,24290,Lakota East at Big Blue ,2008-12-07,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
19,24224,Lakota West at Big Blue Classic ,2008-12-07,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
20,24134,Middletown at Big Blue ,2008-12-07,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
21,24188,"Lakota East 2185, Oak Hills 2150",2008-12-08,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
22,23960,"Colerain 1968, Ursuline 1662",2008-12-08,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
23,22235,"Princeton 2231, Mason 1646",2008-12-09,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
24,22236,"Harrison 2042, Hamilton 1692",2008-12-09,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
25,22234,"Northwest 2234, Fairfield 2201",2008-12-09,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
26,22233,"Middletown 1838, Little Miami 1707",2008-12-09,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
27,22238,"Colerain 2022, Sycamore 1965",2008-12-10,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
28,22237,"Fairfield 2206, Hamilton 1705",2008-12-10,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
29,22299,"Mercy 2394, Oak Hills 2296",2008-12-10,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
30,22239,"Middletown 1765, Lakota West 1616",2008-12-10,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
31,22241,"Princeton 2027, Reading 1471",2008-12-11,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
32,22240,"Oak Hills 1946, Lakota West 1891",2008-12-11,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
33,24292,Sycamore at Holiday Classic ,2008-12-13,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
34,25463,Colerain at Holiday Classic ,2008-12-13,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
35,24291,Lakota East at Holiday Classic ,2008-12-13,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
36,22242,"Lakota East 2296, Sycamore 2004",2008-12-15,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
37,22243,"Colerain 1937, Lakota West 1788",2008-12-15,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
38,22244,"Seton 2327, Mason 2013",2008-12-15,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
39,22245,"Middletown 1919, Butler 1710",2008-12-15,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
40,22246,"Fairfield 2148, Middletown 2132",2008-12-16,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
41,22248,"Sycamore 1929, Reading 1498",2008-12-17,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
42,22249,"Oak Hills 2244, Mason 1815",2008-12-17,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
43,23961,"Northwest 2394, Colerain 2045",2008-12-17,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
44,22250,"Fairfield 2386, Lakota East 2369",2008-12-17,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
45,22251,"Northwest 2495, Hamilton 1651",2008-12-18,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
46,23972,"Middletown 1941, West Carrollton 1453",2008-12-18,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
47,24495,"Lakota East 2197, Monroe 1615",2008-12-22,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
48,24521,"Middletown 2209, Lebanon 1605",2008-12-30,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
49,22253,"Sycamore 1876, Anderson 1776",2009-01-05,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
50,22252,"Badin 1903, Hamilton 1638",2009-01-05,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
51,22254,"Fairfield 2265, Seton 2191",2009-01-05,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
52,22255,"Lakota East 2086, Lakota West 1830",2009-01-05,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
53,22256,"Mason 1922, Sycamore 1807",2009-01-06,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
54,22257,"Oak Hills 2220, Hamilton 1516",2009-01-06,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
55,22259,"Middletown 2425, Colerain 1931",2009-01-07,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
56,24531,"Princeton 2222, Hamilton 1591",2009-01-08,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
57,22261,"Sycamore 1905, Hamilton 1475",2009-01-12,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
58,23962,"Colerain 2046, North College Hill 1494",2009-01-12,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
59,24498,"Fairfield 2389, Princeton 2267",2009-01-12,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
60,22263,"Princeton 2390, Middletown 2219",2009-01-13,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
61,23963,"Colerain 2205, Roger Bacon 2021",2009-01-13,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
62,22264,"Lakota West 2059, Mason 1932",2009-01-13,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
63,24732,"Lakota West 1560, North College Hill 1446",2009-01-14,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
64,22266,"Oak Hills 2243, Fairfield 2234",2009-01-14,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
65,22268,"Mt. Notre Dame 2180, Mason 1942",2009-01-15,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
66,23206,"Princeton 2335, North College Hill 1681",2009-01-15,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
67,22300,Northwest at Oak Hills **score not reported**,2009-01-15,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
68,22269,"Middletown 2034, West Carrollton 1491",2009-01-19,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
69,22274,"Lakota West 1882, Hamilton 1849",2009-01-20,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
70,23964,"Seton 2514, Colerain 1811",2009-01-20,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
71,22273,"Middletown 2463, Lakota East 2147",2009-01-20,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
72,22271,"Princeton 2249, Oak Hills 2067",2009-01-20,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
73,22275,"Fairfield 2360, Sycamore 2046",2009-01-21,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
74,22297,"McAuley 2664, Fairfield 2407",2009-01-22,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
75,22301,Seton at Oak Hills **score not reported**,2009-01-22,2008-2009,215,https://gmcsports.com/,Greater Miami Conference
