,Total,Date,Year,Gender,Domain,Title,MatchID,Name,Score
0,Goshen 1961,2012-11-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57808,Goshen,1961
1, Milford 1907,2012-11-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57808, Milford,1907
2,Middletown 2466,2012-11-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57809,Middletown,2466
3, Loveland 2112,2012-11-19,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57809, Loveland,2112
4,St. Ursaline 1731,2012-11-20,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59408,St. Ursaline,1731
5, Walnut Hills 1679,2012-11-20,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59408, Walnut Hills,1679
6,Milford 2084,2012-11-26,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57810,Milford,2084
7, Turpin 1917,2012-11-26,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57810, Turpin,1917
8,Glen Este 2486,2012-11-26,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57811,Glen Este,2486
9, Amelia 1716,2012-11-26,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57811, Amelia,1716
10,Loveland 2085,2012-11-27,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57813,Loveland,2085
11, Kings 1613,2012-11-27,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57813, Kings,1613
12,Glen Este 2581,2012-11-27,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57812,Glen Este,2581
13, Wilmington 1739,2012-11-27,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57812, Wilmington,1739
14,Milford 1835,2012-11-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57814,Milford,1835
15, Turpin 1559,2012-11-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57814, Turpin,1559
16,Walnut Hills 1976,2012-11-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59409,Walnut Hills,1976
17, Summit Country Day 1703,2012-11-28,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,59409, Summit Country Day,1703
18,Loveland 2215,2012-11-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57815,Loveland,2215
19, Kings 1575,2012-11-29,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57815, Kings,1575
20,Lakota West 1842,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,61637,Lakota West,1842
21, Turpin 1511,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,61637, Turpin,1511
22,Milford 1904,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57816,Milford,1904
23, Walnut Hills 1787,2012-12-03,2012-2013,215,https://eccsports.com/,Eastern Cincinnati Conference,57816, Walnut Hills,1787
