,zip_code,median_income
11,45682,67567
22,45862,85701
84,43750,52066
96,45113,52501
150,44804,43229
194,44852,18509
199,44464,18814
313,46000,73673
338,44000,73937
345,45170,74369
351,44003,74010
368,45083,74872
371,44732,74931
382,45354,77587
421,45833,62867
447,45385,62374
449,45114,62422
450,45078,62426
470,44052,34481
482,45119,34448
484,43798,34432
486,45598,34461
490,43363,34667
516,43107,62946
518,44483,62966
556,45062,98901
590,45226,44301
591,44811,44305
607,43992,44511
629,43854,46013
684,45694,46946
697,45250,55072
713,44213,55792
722,45078,55808
732,43163,75555
764,43750,4760
765,43929,4766
787,43490,28573
793,44858,28684
820,44456,33952
834,45110,17102
835,43472,17223
871,44833,12811
963,44232,80727
1039,45195,35611
1051,43250,35981
1052,44690,35010
1078,43267,35550
1083,45395,35643
1103,44886,50476
1108,45313,50107
1217,43259,27022
1227,44625,27406
1228,45516,27409
1242,44677,79102
1267,43167,51631
1287,45298,19611
1348,44875,73933
1356,43333,73720
1362,44777,73006
1366,46000,73033
1382,44107,61431
1398,45577,61870
1428,45833,21539
1441,45950,78221
1456,45417,78217
1473,45469,31532
1484,45958,31305
1497,45227,51543
1513,43958,51448
1525,44539,51346
1558,44596,84642
1568,43281,93616
1590,43127,85040
1647,44034,44446
1649,45046,37854
1652,44718,37887
1700,45496,50616
1737,44375,66858
1739,44625,66930
1752,44688,66859
1753,45819,66869
1833,43645,73110
1835,44571,73122
1836,44330,73439
1938,43155,62301
2014,44583,62885
2045,43169,62930
2053,44116,33973
2087,44327,96029
2140,44886,62899
2206,45455,96021
2207,45625,96074
2267,43787,92061
2274,44500,92268
2287,44146,48829
2288,44688,28073
2289,43596,28098
2290,45197,28119
2291,45161,28144
2297,43654,28307
2310,43958,28007
2316,44097,32346
2328,45890,32301
2334,45758,32334
2370,45500,13666
2392,45718,27830
2397,45385,27882
2398,44056,27889
2403,43685,39520
2407,44616,39653
2419,45000,4464
2443,44375,81071
2449,43409,81029
2450,45625,81045
2452,43159,81052
2466,45658,15062
2502,43653,15767
2525,45687,23075
2526,45313,23867
2539,43672,23123
2560,44559,73075
2572,45729,73772
2585,44725,76255
2593,44719,76384
2647,44004,38001
2664,45919,45212
2693,45833,54428
2699,43889,54537
2701,44632,54552
2706,44226,54613
2834,43071,6114
2888,43267,83440
2892,44564,83544
2942,44630,61469
2978,43482,31036
3013,43944,72632
3015,45917,72662
3041,45000,5153
3085,45867,93263
3110,45250,84027
3146,45797,21201
3151,43191,39067
3154,44625,39459
3159,44250,39561
3180,43738,39320
3222,44869,50316
3226,45192,50433
3241,44131,76543
3372,45859,29032
3375,44315,29384
3423,43558,69146
3455,44476,62830
3461,45729,62938
3473,43438,71959
3513,44531,37030
3521,44196,37714
3526,43750,37097
3537,45149,37033
3553,43556,19138
3578,45569,19082
3598,44922,96091
3608,45625,96090
3609,45208,96093
3704,45769,25671
3716,43433,37711
3721,43021,37752
3731,45994,74864
3735,45972,74450
3767,43475,48453
3882,44750,16333
3884,44750,16427
3888,43190,16602
3893,43984,16863
3955,44688,80757
3982,44525,88345
4006,43801,38553
4008,45158,38574
4014,45233,38748
4015,45735,38756
4020,44545,38848
4024,44880,38024
4027,43087,38104
4034,44741,38915
4044,45714,73944
4060,45893,73641
4092,44659,57062
4129,43158,81062
4153,43161,81416
4169,44923,78801
4204,43306,74801
4212,43019,74953
4226,43438,4781
4232,44466,4950
4235,45625,4969
4239,44531,4987
4257,44750,4216
4343,44542,75243
4344,43153,75246
4350,44514,75436
4406,43600,28363
4409,43636,28393
4434,43000,62633
4511,43646,72933
4513,45145,72937
4523,44769,72045
4537,43391,72202
4590,45625,61043
4591,44286,61079
4597,45921,61616
4606,43813,25015
4608,45750,25031
4707,44245,70359
4720,44025,70076
4725,43358,70394
4750,45795,76834
4762,45258,76424
4796,43393,62917
4798,45054,62931
4803,43177,62080
4827,44362,33484
4840,43561,33415
4858,44601,37748
4890,45283,37727
4901,44125,69040
4908,44258,69336
4912,45987,69145
4930,43068,26855
4967,43897,71003
4969,44364,71027
4990,44969,33563
5005,45471,33898
5013,44944,92256
5023,44865,37325
5065,43853,61032
5113,44583,56146
5125,44464,56160
5142,45833,74521
5147,45515,74536
5152,44429,74731
