,Name
0,Glen Este
1,Loveland
2,Milford
3,Walnut Hills
4,Turpin
5,Anderson
6,Kings
21,Withrow
39,West Clermont
59,Lebanon
65,Little Miami
68,Winton Woods
178,Oak Hills
179,Princeton
180,Lakota East
181,Mason
182,Fairfield
183,Colerain
184,Middletown
185,Sycamore
186,Hamilton
187,Lakota West
495,Northwest
496,Harrison
497,Wilmington
498,Mt. Healthy
499,Edgewood
501,Ross
502,Talawanda
647,Franklin
648,Monroe
659,Valley View
671,Bellbrook
672,Brookville
673,Carlisle
674,Eaton
675,Middletown Madison
676,Oakwood
677,Waynesville
731,New Richmond
733,Western Brown
734,Goshen
735,Clinton Massie
736,Batavia
737,Clermont Northeastern
738,Williamsburg
739,Bethel-Tate
740,Georgetown
741,East Clinton
742,Felicity-Franklin
743,Blanchester
835,Carroll
836,Chaminade Julienne
837,Fenwick
838,Alter
839,Badin
840,Roger Bacon
841,McNicholas
842,Purcell Marian
843,Mercy
844,Seton
845,McAuley
846,Mount Notre Dame
847,Ursuline Academy
848,St. Ursula
935,Mercy McAuley
