,name,latitude,longitude,display_name,zip
0,Mt. Healthy,39.24105,-84.55412,"Mount Healthy Junior/Senior High School, Adams Road, Mount Healthy, Springfield Township, Hamilton County, Ohio, 45231, United States",45231
1,Withrow,39.14227,-84.45159,"Withrow University High School, 2488, Madison Road, O’Bryonville, Hyde Park, Cincinnati, Hamilton County, Ohio, 45208, United States",45208
2,Northwest,39.2702,-84.57778,"Northwest High School, Pippin Road, Mount Healthy Heights, Colerain Township, Hamilton County, Ohio, 45231, United States",45231
3,Mason,39.35071,-84.30624,"William Mason High School, Lakeside Drive, Mason, Warren County, Ohio, 45040, United States",45040
4,Roger Bacon,39.16233,-84.50258,"Roger Bacon High School, Vine Street, Saint Bernard, Hamilton County, Ohio, 45217, United States",45217
5,Franklin,39.99766,-83.00853,"Ohio Union, 1739, North High Street, Indianola Terrace, University District, Columbus, Sharon, Franklin County, Ohio, 43210, United States",43210
6,Goshen,39.2281,-84.15684,"Goshen High School, Goshen Road, Goshen, Goshen Township, Clermont County, Ohio, 45122, United States",45122
7,Little Miami,39.35673,-84.15986,"Little Miami High School, US 22;SR 3, Hamilton Township, Warren County, Ohio, 45152, United States",45152
8,Anderson,39.06898,-84.34776,"Anderson High School, Forest Road, Asbury, Anderson Township, Hamilton County, Ohio, 45255, United States",45255
9,Felicity-Franklin,38.83702,-84.09871,"Felicity–Franklin High School, 105, North Market Street, Felicity, Franklin Township, Clermont County, Ohio, 45120, United States",45120
10,Middletown,39.52259,-84.34861,"Middletown High School, 601, North Breiel Boulevard, Middletown, Butler County, Ohio, 45042, United States",45042
11,Williamsburg,39.05168,-84.06522,"Williamsburg High School, Batavia-Williamsburg Pike, Williamsburg Woods, Williamsburg, Williamsburg Township, Clermont County, Ohio, 45103, United States",45103
12,Fairfield,39.33688,-84.51831,"Fairfield Senior High School, 8800, Holden Boulevard, Fairfield, Butler County, Ohio, 45014, United States",45014
13,Lakota East,39.37956,-84.36945,"Lakota East High School Campus, 6840, Lakota Lane, Bethany, Liberty Township, Butler County, Ohio, 45044, United States",45044
